的,19667834
在,6117111
一,4151781
台,3896346
為,3084077
有,2903873
是,2883685
將,2857981
與,2852760
表示,2333234
也,2259551
今天,2174177
中,2142616
他,2139425
及,2139049
會,2057849
和,1993627
灣,1977212
說,1843889
以,1815627
並,1639874
對,1636188
多,1555874
之,1533289
大,1518690
上,1443618
後,1381368
但,1357374
了,1343058
於,1323565
等,1289470
已,1242437
人,1227948
都,1158933
這,1136695
指出,1135044
到,1122053
分,1116089
美國,1083802
時,1073147
由,1036348
而,997131
不,994106
三,912512
新,911826
個,896798
中國,890808
要,828841
百,816411
問題,810750
被,801731
總統,801247
就,788222
目前,771936
長,757436
政府,752257
五,745345
二,730382
陳,698246
中共,697854
十,688682
大陸,687878
進行,674090
九,673084
應,668974
零,668311
國家,666203
可,664589
經濟,660383
最,658493
認為,658294
兩,655654
更,653732
四,652856
或,651162
至,643202
希望,640313
台北,631755
萬零,617250
今年,606798
前,606749
亞,600127
公司,589849
讓,589432
所,576877
民眾,575326
沒有,575131
則,574069
從,565843
向,553115
工作,547966
國,543168
可能,539132
能,536515
地區,535935
國際,532315
八,532063
縣,530834
報導,529818
發展,524305
